year,state_abbr,population,violent_crime,homicide,rape_legacy,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,caveats
2004,SC,4197892,33160,286,1772,,5468,25634,190456,43739,130991,15726,
2005,SC,4246933,32590,314,1862,,5657,24757,185606,42741,126489,16376,
2006,SC,4321249,33322,362,1834,,5902,25224,184712,42952,125075,16685,
2007,SC,4407709,34630,364,1773,,6354,26139,189304,45398,126802,17104,
2008,SC,4479800,32746,307,1686,,6595,24158,189950,45964,126316,17670,
2009,SC,4561242,30799,305,1663,,5753,23078,178310,45443,119250,13617,
2010,SC,4637106,27923,265,1551,,5017,21090,181098,46261,121544,13293,
2011,SC,4673348,27894,320,1678,,4631,21265,183243,47351,122255,13637,
2012,SC,4723417,26474,332,1712,,4511,19919,181049,45222,122340,13487,
2013,SC,4771929,24263,305,1739,,3965,17760,173261,40930,119730,12601,
2014,SC,4829160,24038,322,1522,2233,4018,17513,168281,37163,118173,12945,
2015,SC,4894834,24448,407,2439,1717,3950,17652,162830,34942,114778,13110,
2016,SC,4961119,24896,366,2387,1711,4035,18108,160928,32976,114032,13920,
1995,SD,729000,1513,13,299,2297,189,1012,20799,3942,15976,881,
1996,SD,732000,1297,9,300,,138,850,20443,4077,15532,834,
1997,SD,738000,1457,10,357,,172,918,22491,4088,17545,858,
1998,SD,738000,1139,10,258,,149,722,18227,3458,14006,763,
1999,SD,733133,1227,18,336,,103,770,18159,3255,14043,861,
2000,SD,754844,1259,7,305,,131,816,16252,2896,12558,798,
2001,SD,758324,1171,7,351,,103,710,16473,3087,12571,815,
2002,SD,760437,1350,11,361,,117,861,15992,3034,12139,819,
2003,SD,764905,1329,10,356,,104,859,15324,2878,11572,874,
2004,SD,770621,1319,17,336,,112,854,14885,3148,10890,847,
2005,SD,774883,1387,18,377,,145,847,13694,2505,10350,839,
2006,SD,781919,2071,30,465,,158,1418,13812,3024,9954,834,
2007,SD,796214,1926,31,433,,118,1344,13829,2647,10398,784,
2008,SD,804194,2227,37,562,,134,1494,13867,2683,10266,918,
2009,SD,812383,1777,30,501,,117,1129,14378,2621,10891,866,
2010,SD,816598,2196,23,385,,154,1634,15188,3192,11196,800,
2011,SD,823593,2105,20,503,,167,1415,15299,2927,11423,949,
2012,SD,834047,2701,23,600,,157,1921,17326,3280,12973,1073,
2013,SD,845510,2733,18,454,,156,2052,16274,3383,11955,936,
2014,SD,853304,2801,23,336,507,199,2101,16036,2817,12209,1010,
2015,SD,857919,3302,33,500,367,215,2554,16739,2969,12576,1194,
2016,SD,865454,3621,27,509,379,272,2813,17141,3000,12639,1502,
1995,TN,5256000,40549,557,2477,495,11732,25783,241315,60086,147143,34086,
1996,TN,5320000,41175,503,2475,,11902,26295,248729,61896,152405,34428,
1997,TN,5368000,42389,511,3056,,11487,27335,253484,62899,156843,33742,
1998,TN,5431000,38832,460,2485,,9667,26220,234588,58432,148057,28099,
1999,TN,5483535,38111,391,2415,,8598,26707,219302,51362,142685,25255,
2000,TN,5689283,40233,410,2186,,9465,28172,237985,56344,154111,27530,
2001,TN,5749398,42776,423,2196,,10219,29938,252992,59705,165015,28272,
2002,TN,5789796,41562,420,2290,,9413,29439,249399,61248,161610,26541,
2003,TN,5845208,40409,396,2129,,9413,28471,256565,63323,166769,26473,
2004,TN,5893298,41113,357,2282,,8863,29611,254991,60386,169828,24777,
2005,TN,5955745,45104,431,2194,,10009,32470,256093,61508,169357,25228,
2006,TN,6038803,46043,419,2194,,11143,32287,249860,63024,164183,22653,
2007,TN,6156719,46482,405,2201,,11033,32843,252342,61817,168807,21718,
2008,TN,6214888,44913,412,2078,,10804,31619,251089,65093,166793,19203,
2009,TN,6296254,41933,468,2019,,9653,29793,237157,63832,158309,15016,
2010,TN,6357436,38909,359,2173,,8361,28016,232855,64293,153729,14833,
2011,TN,6399787,38895,380,2095,,8082,28338,230900,62830,153928,14142,
2012,TN,6454914,41213,400,2047,,8151,30615,217925,56231,148731,12963,
2013,TN,6497269,38063,335,1904,,7333,27895,207683,51334,144443,11906,
2014,TN,6547779,39989,369,1870,2500,7268,29757,200911,46798,141464,12649,
2015,TN,6595056,40816,418,2801,2032,7499,30098,196047,43753,139259,13035,
2016,TN,6651194,42097,486,2714,1991,7813,31084,189835,40312,134404,15119,
1995,TX,18724000,124303,1693,8563,2676,33667,80380,940033,202642,632468,104923,
1996,TX,19128000,123270,1477,8376,,32804,80613,968732,204390,659414,104928,
1997,TX,19439000,117126,1327,8011,,30522,77266,948231,201059,645451,101721,
1998,TX,19760000,111566,1346,7913,,28677,73630,898496,194883,606967,96646,
1999,TX,20044141,112306,1217,7614,,29405,74070,896261,190362,613862,92037,
2000,TX,20851820,113653,1238,7856,,30257,74302,919658,188975,637522,93161,
2001,TX,21370983,122155,1332,8169,,35348,77306,976654,204362,669625,102667,
2002,TX,21736925,126018,1302,8508,,37580,78628,1004274,212602,688992,102680,
2003,TX,22103374,122246,1422,8025,,37017,75782,1016735,219877,698644,98214,
2004,TX,22471549,121554,1364,8388,,35817,75985,1010702,220118,696507,94077,
2005,TX,22928508,121091,1407,8511,,35790,75383,990293,219828,677042,93423,
2006,TX,23507783,121602,1386,8429,,37256,74531,959846,215710,648711,95425,
2007,TX,23904380,122014,1419,8460,,38778,73357,985421,228320,663101,94000,
2008,TX,24326974,123585,1370,8055,,37739,76421,969865,230046,654435,85384,
2009,TX,24782302,121684,1330,8311,,38022,74021,995082,240058,678455,76569,
2010,TX,25253466,113231,1249,7622,,32843,71517,951246,228597,654626,68023,
2011,TX,25631778,104734,1130,7486,,28620,67498,892810,215755,613131,63924,
2012,TX,26060796,106475,1148,7715,,30385,67227,876459,205002,606425,65032,
2013,TX,26505637,108757,1140,7610,,31810,65351,862289,191062,605440,65787,
2014,TX,26979078,109711,1192,8400,10456,31021,65862,813515,168085,577018,68412,
2015,TX,27429639,113193,1317,12323,8941,31924,67629,779234,153067,558653,67514,
2016,TX,27862596,121042,1478,13367,9858,33317,72880,768947,148740,551151,69056,
1995,UT,1951000,6415,76,834,12250,1309,4196,112417,15623,89202,7592,
1996,UT,2000000,6638,63,836,,1377,4362,113079,16965,87542,8572,
1997,UT,2059000,6878,50,977,,1408,4443,116569,18335,89090,9144,
1998,UT,2100000,6599,65,875,,1385,4274,109025,17070,84255,7700,
1999,UT,2129836,5869,44,806,,1158,3861,100130,14592,78156,7382,
2000,UT,2233169,5711,43,863,,1242,3563,94247,14348,73438,6461,
2001,UT,2278712,5314,67,896,,1197,3154,90993,13804,70676,6513,
2002,UT,2318789,5488,47,943,,1140,3358,97641,15124,74795,7722,
2003,UT,2352119,5889,60,919,,1258,3652,100084,16961,75321,7802,
2004,UT,2420708,5647,46,967,,1236,3398,97762,15225,74889,7648,
2005,UT,2490334,5612,56,920,,1095,3541,95546,14971,72082,8493,
2006,UT,2550063,5771,51,891,,1242,3587,89572,14721,66480,8371,
2007,UT,2645330,6347,59,935,,1425,3928,93082,15594,68573,8915,
2008,UT,2736424,6165,41,915,,1421,3788,92373,14766,70299,7308,
2009,UT,2784572,5998,39,941,,1304,3714,91751,15258,69556,6937,
2010,UT,2775479,5925,53,983,,1269,3620,88316,15095,67242,5979,
2011,UT,2814347,5547,50,901,,1079,3517,84084,13170,64727,6187,
2012,UT,2854871,5939,52,975,,1105,3807,86284,13095,67157,6032,
2013,UT,2902787,6644,51,926,,1247,3824,88334,13727,67115,7492,
2014,UT,2944498,6464,66,1114,1522,1313,3538,85473,11656,66487,7330,
2015,UT,2990632,7138,57,1704,1247,1329,4048,89797,12606,68464,8727,
2016,UT,3051217,7407,72,1520,1116,1541,4274,90058,12836,67834,9388,
1995,VT,585000,692,13,165,1645,64,450,19395,4451,14150,794,
1996,VT,589000,714,11,159,,91,453,16973,3964,12124,885,
1997,VT,589000,705,9,156,,79,461,15953,3611,11542,800,The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The 1996 and 1997 percent changes within the geographic division in which Vermont is categorized were applied to the valid 1996 state total to effect the 1997 state total.
1998,VT,591000,628,13,163,,56,396,17924,3966,13084,874,
1999,VT,593740,676,17,136,,65,458,16059,3537,11610,912,
2000,VT,608827,691,9,140,,117,425,17494,3501,13184,809,
2001,VT,612978,644,7,107,,107,423,16334,3150,12426,758,
2002,VT,616408,658,13,126,,77,442,14942,3489,10684,769,
2003,VT,619343,707,15,126,,62,504,13803,3017,10132,654,
2004,VT,621233,713,16,160,,78,459,14559,3435,10537,587,
2005,VT,622387,782,8,153,,76,545,14749,3185,10894,670,
2006,VT,623908,905,14,173,,114,604,14920,3443,10857,620,
2007,VT,621254,802,13,128,,79,582,14702,3200,10853,649,
2008,VT,621270,854,17,133,,93,611,15903,3515,11802,586,
2009,VT,621760,837,8,132,,111,586,15010,3471,11090,449,
2010,VT,625909,820,7,141,,76,596,14160,3348,10373,439,
2011,VT,626592,925,11,146,,99,669,15086,3838,10720,528,
2012,VT,625953,891,8,131,,114,638,15653,4179,11014,460,
2013,VT,626855,775,10,113,,75,554,13882,3352,10193,337,
2014,VT,626767,643,10,85,136,72,444,9721,2092,7375,254,
2015,VT,626088,747,10,150,104,105,482,9064,2034,6834,196,
2016,VT,624594,989,14,178,124,106,691,10602,2103,8217,282,
1995,VA,6618000,23921,503,1799,136,8718,12901,240084,39388,181333,19363,
1996,VA,6675000,22782,500,1783,,8181,12318,242100,39255,184237,18608,
1997,VA,6734000,23249,488,1819,,8384,12558,237773,38475,180406,18892,
1998,VA,6791000,22115,422,1810,,7171,12712,226461,38094,170012,18355,
1999,VA,6872912,21626,392,1720,,6947,12567,210260,32411,159896,17953,
2000,VA,7078515,19943,401,1616,,6295,11631,194405,30434,146158,17813,
2001,VA,7196750,20939,364,1770,,6860,11945,207506,31604,157060,18842,
2002,VA,7287829,21256,388,1839,,6961,12068,207783,31757,157548,18478,
2003,VA,7365284,20490,416,1807,,6713,11554,200449,29105,153367,17977,
2004,VA,7481332,20608,390,1816,,6899,11503,200368,28759,154154,17455,
2005,VA,7564327,21434,458,1763,,7495,11718,200404,29829,154584,15991,
2006,VA,7642884,21683,403,1829,,7779,11672,190257,32166,143292,14799,
2007,VA,7712091,21035,415,1793,,7696,11131,191763,32028,145634,14101,
2008,VA,7769089,20031,370,1794,,7470,10397,196726,32188,151191,13347,
2009,VA,7882590,18195,370,1572,,6342,9911,194020,31956,150374,11690,
2010,VA,8023953,17184,376,1580,,5678,9550,187403,30804,145990,10609,
2011,VA,8104384,16014,304,1591,,5425,8694,182902,30656,142476,9770,
2012,VA,8186628,15676,322,1505,,4718,9131,178434,29651,139654,9129,
2013,VA,8270345,16355,320,1476,,4574,9111,171558,26717,136215,8626,
2014,VA,8328098,16522,350,1687,2350,4294,9462,161934,23210,131001,7723,
2015,VA,8367587,16705,390,2499,1767,4459,9357,157803,21542,128064,8197,
2016,VA,8411808,18302,484,2737,1965,4803,10278,156412,20018,126606,9788,
1995,WA,5431000,26300,275,3214,2340,7209,15602,314213,59265,224861,30087,
1996,WA,5533000,23857,255,2828,,6587,14187,303111,58512,215706,28893,
1997,WA,5610000,24724,244,2885,,6734,14864,307742,62064,213823,31855,
1998,WA,5689000,24380,224,2740,,6577,14839,309419,60446,213773,35200,
1999,WA,5756361,21716,171,2711,,5808,13026,280793,54652,192334,33807,
2000,WA,5894121,21788,196,2737,,5812,13043,279144,53476,190650,35018,
2001,WA,5993390,21258,179,2600,,5934,12545,287234,53024,195133,39077,
2002,WA,6067060,20964,184,2734,,5797,12249,288967,54948,193526,40493,
2003,WA,6131298,21272,182,2863,,5718,12509,291542,58271,192653,40618,
2004,WA,6207046,21330,190,2857,,5866,12417,300837,60632,196972,43233,
2005,WA,6291899,21745,205,2811,,5788,12941,307661,60343,198031,49287,
2006,WA,6395798,22303,197,2748,,6424,12934,288456,58843,183179,46434,
2007,WA,6468424,21768,174,2653,,6079,12862,261776,52874,170782,38120,
2008,WA,6549224,21888,193,2653,,6419,12623,249283,53136,167013,29134,
2009,WA,6664195,22412,190,2583,,6711,12928,245215,53047,168421,23747,
2010,WA,6742950,21138,154,2579,,5929,12476,249426,55192,168490,25744,
2011,WA,6823267,20152,163,2320,,5627,12042,244209,56561,162828,24820,
2012,WA,6895318,20553,217,2250,,5801,12285,254377,61376,166338,26663,
2013,WA,6973742,20223,167,2072,,5829,11623,259139,58487,172227,28425,
2014,WA,7063166,20185,178,1999,2604,5641,11586,261257,55381,175317,30559,
2015,WA,7160290,20505,218,2778,2006,5450,12059,249474,51114,171393,26967,
2016,WA,7288000,22023,195,3077,2259,5651,13100,254653,49180,173187,32286,
1995,WV,1828000,3842,89,388,2705,781,2584,41093,10329,27724,3040,
1996,WV,1826000,3836,69,358,,737,2672,41510,9979,28300,3231,
1997,WV,1816000,3971,75,355,,782,2759,40868,10647,26934,3287,
1998,WV,1811000,4503,78,339,,676,3410,41627,11110,27127,3390,
1999,WV,1806928,6336,79,337,,661,5259,42825,10303,28760,3762,
2000,WV,1808344,5723,46,331,,749,4597,41344,9890,28139,3315,
2001,WV,1800975,5035,40,320,,707,3968,41085,9601,28268,3216,
2002,WV,1804884,4221,57,328,,657,3179,41099,9677,27524,3898,
2003,WV,1811440,4627,73,311,,701,3542,42370,10498,28409,3463,
2004,WV,1812548,5110,68,346,,774,3922,46326,10994,31566,3766,
2005,WV,1814083,4968,82,335,,816,3735,47757,11334,32603,3820,
2006,WV,1818470,5113,80,404,,853,3776,47941,11579,32305,4057,
2007,WV,1812035,5016,65,388,,847,3716,45620,10822,31321,3477,
2008,WV,1814468,5006,67,389,,896,3654,45971,10840,31967,3164,
2009,WV,1819777,5554,84,470,,914,4086,46215,12005,31453,2757,
2010,WV,1854368,5586,58,362,,776,4390,41301,10778,28104,2419,
2011,WV,1854908,5497,87,372,,802,4236,39009,10245,26656,2108,
2012,WV,1856680,5943,70,415,,835,4623,44500,11466,30800,2234,
2013,WV,1853595,5657,62,367,,653,4242,39929,9908,28055,1966,
2014,WV,1848751,5850,84,417,700,655,4517,38282,9368,26954,1960,
2015,WV,1841053,6397,85,710,493,783,4819,38694,9467,26984,2243,
2016,WV,1831102,6557,81,657,468,720,5099,37487,9301,25677,2509,
1995,WI,5123000,14399,219,1194,672,5384,7602,184665,31416,134623,18626,
1996,WI,5160000,13039,204,1086,,4982,6767,184143,30356,135941,17846,
1997,WI,5170000,13988,205,1048,,5214,7521,176145,29503,131002,15640,
1998,WI,5224000,13009,190,1037,,4474,7308,172084,29740,128134,14210,The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  The state total was estimated by using 1997 figures for the nonreporting areas and applying 1997 versus 1998 percentage changes for the division in which Wisconsin is located.  The estimates for the nonreporting areas were then increased by any actual 1998 crime counts received.
1999,WI,5250446,12908,179,1055,,4449,7225,160154,25633,120702,13819,
2000,WI,5363675,12700,169,1165,,4537,6829,159424,25183,119605,14636,
2001,WI,5405947,12486,192,1142,,4444,6708,166924,26927,125275,14722,
2002,WI,5439692,12238,154,1237,,4713,6134,164749,27926,123365,13458,
2003,WI,5474290,12104,183,1202,,4397,6322,157684,26546,118775,12363,
2004,WI,5503533,11548,154,1136,,4067,6191,146710,23854,111482,11374,
2005,WI,5527644,13367,206,1135,,4555,7471,147556,24448,110531,12577,
2006,WI,5556506,15899,165,1233,,5564,8937,156748,27038,115682,14028,
2007,WI,5601640,16330,185,1227,,5480,9438,159305,27890,117957,13458,
2008,WI,5627967,15507,146,1128,,5163,9070,155456,27459,116456,11541,
2009,WI,5654774,14650,146,1118,,4904,8482,147692,26813,111947,8932,
2010,WI,5691659,14167,155,1191,,4516,8305,142781,26636,107993,8152,
2011,WI,5709843,14268,138,1190,,4600,8340,139912,27167,104472,8273,
2012,WI,5724554,16254,169,1228,,4692,10165,140780,27931,104619,8230,
2013,WI,5742953,16118,163,1308,,4834,9285,125694,24358,93946,7390,
2014,WI,5759432,16763,159,1216,1836,5101,9826,120535,21375,89255,9905,
2015,WI,5767891,17549,240,1805,1324,5234,10270,114171,19602,83572,10997,
2016,WI,5778708,17679,229,1979,1458,4706,10765,111720,19425,82337,9958,
1995,WY,480000,1220,10,165,1780,86,959,19517,2938,15774,805,
1996,WY,481000,1201,16,140,,98,947,19261,3184,15408,669,
1997,WY,480000,1225,17,137,,85,986,18843,2998,15198,647,
1998,WY,481000,1191,23,133,,78,957,17124,2696,13759,669,
1999,WY,479602,1115,11,137,,74,893,15468,2349,12523,596,
2000,WY,493782,1316,12,160,,70,1074,14969,2078,12318,573,
2001,WY,493754,1272,9,153,,84,1026,16120,2481,12943,696,
2002,WY,498830,1364,15,148,,93,1108,16494,2448,13303,743,
2003,WY,502111,1314,14,136,,84,1080,16648,2611,13239,798,
2004,WY,505887,1163,11,112,,67,973,16889,2738,13352,799,
2005,WY,508798,1172,14,122,,78,958,16070,2426,12905,739,
2006,WY,515004,1307,13,151,,72,1071,15381,2322,12255,804,
2007,WY,522830,1344,21,172,,84,1067,15053,2365,11875,813,
2008,WY,532668,1330,12,185,,87,1046,14515,2198,11584,733,
2009,WY,544270,1196,11,172,,78,935,14243,2176,11310,757,
2010,WY,564554,1117,8,162,,77,870,13869,2151,11126,592,
2011,WY,567356,1245,18,146,,71,1010,12878,1864,10493,521,
2012,WY,576626,1161,14,154,,61,932,13222,2125,10513,584,
2013,WY,583223,1212,17,144,,74,917,12809,1956,10275,578,
2014,WY,584304,1142,16,127,204,53,899,11477,1689,9185,603,
2015,WY,586555,1300,16,171,124,59,1054,11151,1762,8797,592,
2016,WY,585501,1430,20,205,150,59,1146,11460,1771,8889,800,
