ori,months_reported,sex_acts,sex_acts_cleared,sex_acts_juvenile_cleared,servitude,servitude_cleared,servitude_juvenile_cleared
MS05702,3,0,0,0,0,0,0
MS05703,4,0,0,0,0,0,0
MS06101,3,0,0,0,0,0,0
MS06106,3,0,0,0,0,0,0
MS06200,6,0,0,0,0,0,0
MS06202,1,0,0,0,0,0,0
MS06401,7,0,0,0,0,0,0
MS06600,12,0,0,0,0,0,0
MS06601,3,0,0,0,0,0,0
MS06701,5,0,0,0,0,0,0
MS07000,3,0,0,0,0,0,0
MS07100,6,0,0,0,0,0,0
MS07101,6,0,0,0,0,0,0
MS07200,5,0,0,0,0,0,0
MS07500,3,0,0,0,0,0,0
MS07501,6,0,0,0,0,0,0
MS07600,8,0,0,0,0,0,0
MS07602,2,0,0,0,0,0,0
MS07801,4,0,0,0,0,0,0
MS08000,4,0,0,0,0,0,0
MS08001,3,0,0,0,0,0,0
MS08201,1,0,0,0,0,0,0
MOMHPAA,12,0,0,0,0,0,0
MOMHPBB,12,0,0,0,0,0,0
MOMHPCC,12,0,0,0,0,0,0
MOMHPDD,12,0,0,0,0,0,0
MOMHPEE,12,0,0,0,0,0,0
MOMHPFF,12,0,0,0,0,0,0
MOMHPGG,12,0,0,0,0,0,0
MOMHPHH,12,0,0,0,0,0,0
MOMHPII,12,0,0,0,0,0,0
MOMHP07,12,0,0,0,0,0,0
MOSPD00,12,0,0,0,0,0,0
MO00100,5,0,0,0,0,0,0
MO00101,5,0,0,0,0,0,0
MO00106,6,0,0,0,0,0,0
MO00200,5,0,0,0,0,0,0
MO00201,6,0,0,0,0,0,0
MO00205,5,0,0,0,0,0,0
MO00300,6,0,0,0,0,0,0
MO00302,5,0,0,0,0,0,0
MO00303,6,0,0,0,0,0,0
MO00400,5,0,0,0,0,0,0
MO00401,7,0,0,0,0,0,0
MO00403,5,0,0,0,0,0,0
MO00404,6,0,0,0,0,0,0
MO00405,6,0,0,0,0,0,0
MO00500,6,0,0,0,0,0,0
MO00501,5,0,0,0,0,0,0
MO00502,8,0,0,0,0,0,0
MO00503,5,0,0,0,0,0,0
